DBA,ZIP,TYPE,CITY,YEAR_FIRST,YEAR_LAST,MONTH_FIRST,MONTH_LAST
GREEN DRAGON,80424.0,Rec,Breckenridge,2021,2022,8,7
GREEN DRAGON,80524.0,"Med, Rec",Fort Collins,2021,2022,11,12
GREEN DRAGON,80602.0,Rec,Thornton,2021,2022,3,12
GREEN DRAGON,81435.0,Rec,Telluride,2021,2022,4,12
GREEN DRAGON,81601.0,Rec,Glenwood Springs,2021,2022,4,12
GREEN DRAGON,81611.0,Rec,Aspen,2021,2022,4,12
GREEN DRAGON - BASALT,81621.0,"Rec, Med",Basalt,2014,2015,12,4
GREEN DRAGON COLORADO,80011.0,Rec,Aurora,2017,2020,9,11
GREEN DRAGON COLORADO,80013.0,Rec,Aurora,2016,2019,9,10
GREEN DRAGON COLORADO,80015.0,Rec,Aurora,2019,2020,11,11
GREEN DRAGON COLORADO,80203.0,Rec,Denver,2019,2022,11,6
GREEN DRAGON COLORADO,80206.0,"Rec, Med",Denver,2020,2021,5,5
GREEN DRAGON COLORADO,80212.0,Rec,Mountain View,2017,2021,9,3
GREEN DRAGON COLORADO,80214.0,"Rec, Med",Edgewater,2016,2021,9,3
GREEN DRAGON COLORADO,80220.0,Rec,Denver,2017,2021,9,3
GREEN DRAGON COLORADO,80223.0,"Med, Rec",Denver,2016,2021,9,3
GREEN DRAGON COLORADO,80301.0,"Med, Rec",Boulder,2019,2021,10,3
GREEN DRAGON COLORADO,80424.0,Rec,Breckenridge,2016,2021,9,7
GREEN DRAGON COLORADO,80602.0,Rec,Thornton,2017,2021,9,2
GREEN DRAGON COLORADO,81435.0,Rec,Telluride,2017,2021,9,3
GREEN DRAGON COLORADO,81601.0,"Med, Rec",Glenwood Springs,2014,2022,12,2
GREEN DRAGON COLORADO,81611.0,Rec,Aspen,2017,2021,9,3
GREEN DRAGON DENVER,80203.0,Med,Denver,2014,2015,12,8
GREEN DRAGON GLENWOOD,81601.0,Rec,Glenwood Springs,2015,2015,5,8
GREEN DREAM CANNABIS,80301.0,"Med, Rec",Boulder,2015,2022,12,12
GREEN DREAM HEALTH SERVICES,80301.0,Med,Boulder,2014,2015,12,11
GREEN EARTH WELLNESS CENTER,80904.0,Med,Colorado Springs,2014,2015,12,8
"GREEN EARTH WELLNESS CENTER,",80904.0,Med,Colorado Springs,2014,2014,3,1
GREEN ESSENTIALS MEDICAL,81601.0,"Med, Rec",Glenwood Springs,2014,2014,8,6
GREEN ESSENTIALS MEDICAL,81611.0,"Med, Rec",Aspen,2014,2015,8,8
GREEN FARMS,80909.0,Med,Colorado Springs,2016,2022,9,4
GREEN FIELDS,80216.0,Med,Denver,2015,2019,12,3
GREEN FIELDS,80223.0,"Med, Rec",Denver,2014,2022,12,7
GREEN GRASS,80427.0,"Med, Rec",Central City,2014,2021,12,3
GREEN GRASS CENTRAL CITY,80427.0,"Rec, Med",Central City,2016,2019,12,4
"GREEN GRASS,",80427.0,Rec,Central City,2014,2016,12,2
GREEN HEART LTD,80015.0,Rec,Aurora,2014,2020,12,1
GREEN KIWI,81630.0,Rec,De Beque,2015,2016,12,4
GREEN LEAF,80231.0,Med,Denver,2014,2020,12,5
GREEN MAN CANNABIS,80204.0,"Med, Rec",Denver,2014,2022,12,11
GREEN MAN CANNABIS,80224.0,"Med, Rec",Denver,2014,2022,1,11
GREEN MEADOWS DISPENSARY,81403.0,Med,Montrose,2014,2022,12,7
GREEN MEADOWS DISPENSARY,81416.0,Med,Delta,2019,2022,8,7
"GREEN MEADOWS DISPENSARY,",81403.0,Med,Montrose,2014,2014,3,1
GREEN MEDICINE WELLNESS,81601.0,Med,Glenwood Springs,2014,2022,12,10
GREEN MEDICINE WELLNESS,81650.0,Med,Rifle,2014,2016,12,4
GREEN MOUNTAIN CARE,80120.0,Med,Littleton,2014,2018,12,9
GREEN NATURAL SOLUTIONS INC,81601.0,"Med, Rec",Glenwood Springs,2014,2019,12,3
"GREEN NATURAL SOLUTIONS, INC",81601.0,Med,Glenwood Springs,2014,2014,3,1
GREEN PHARM,80909.0,Med,Colorado Springs,2014,2022,12,8
GREEN PHARM,80918.0,Med,Colorado Springs,2018,2022,4,7
GREEN REMEDY,80231.0,Rec,Denver,2022,2022,4,11
GREEN REMEDY,80239.0,Rec,Denver,2021,2022,11,4
GREEN RINO,80216.0,"Med, Rec",Denver,2019,2022,12,9
GREEN SATIVA,80260.0,"Med, Rec",Federal Heights,2016,2022,9,11
GREEN STREET,80223.0,Rec,Denver,2022,2022,6,12
GREEN THUMB ORGANICS INC,80216.0,Med,Denver,2014,2014,8,6
GREEN TREE MEDICINALS,80234.0,"Med, Rec",Northglenn,2014,2021,12,3
GREEN TREE MEDICINALS,80303.0,"Med, Rec",Boulder,2014,2020,12,12
GREEN TREE MEDICINALS,80308.0,Rec,Boulder,2016,2018,9,3
GREEN TREE MEDICINALS,80501.0,"Med, Rec",Longmont,2014,2019,8,2
GREEN TREE MEDICINALS,80504.0,"Med, Rec",Longmont,2015,2022,12,12
GREEN TREE MEDICINALS,80513.0,"Med, Rec",Berthoud,2014,2022,12,8
GREEN WORLD,81133.0,Rec,Fort Garland,2014,2022,12,12
GREEN WORLD EXPRESS,81120.0,Rec,Antonito,2016,2022,9,12
GREEN WORLD EXPRESS INC,81120.0,Rec,Antonito,2017,2021,9,3
GREENFIELDS,80223.0,"Med, Rec",Denver,2015,2022,12,8
GREENWERKZ,80013.0,Rec,Aurora,2015,2016,12,2
GREENWERKZ,80214.0,"Med, Rec",Edgewater,2014,2016,12,2
GREENWERKZ,80223.0,"Med, Rec",Denver,2014,2016,12,2
GREENWERKZ,81601.0,"Med, Rec",Glenwood Springs,2014,2015,12,11
"GREENWERKZ,",80214.0,"Med, Rec",Edgewater,2014,2014,1,1
"GREENWERKZ,",81601.0,Med,Glenwood Springs,2014,2014,1,1
GROUNDSWELL,80206.0,"Med, Rec",Denver,2014,2019,12,6
GROW DISPENSARY INC,81007.0,"Med, Rec",Pueblo West,2021,2022,6,11
GROW LIFE,80905.0,Med,Colorado Springs,2014,2017,12,1
GROW LIFE INC,80905.0,Med,Colorado Springs,2017,2019,9,11
GROW LIFE INC,80907.0,Med,Colorado Springs,2019,2022,12,6
GROWHOUSE CENTRAL CITY,80427.0,Rec,Central City,2015,2016,12,4
GROWHOUSE FRASER,80442.0,Rec,Fraser,2017,2017,3,3
GROWHOUSE FRASER,80482.0,Rec,Fraser,2014,2016,12,4
GROWHOUSE GRAND LAKE,80447.0,Rec,Grand Lake,2015,2016,12,4
GROWHOUSE GUNNISON,81230.0,Rec,Gunnison,2015,2016,12,4
GROWHOUSE NED,80466.0,Rec,Nederland,2016,2018,9,1
GROWHOUSE NORTHGLENN,80233.0,Rec,Northglenn,2016,2018,9,9
GROWHOUSE PAGOSA SPRINGS,81147.0,Rec,Pagosa Springs,2015,2016,12,4
GROWHOUSE TRINIDAD,81062.0,Rec,Trinidad,2015,2015,10,10
GROWHOUSE TRINIDAD,810822623.0,Rec,Trinidad,2015,2016,12,4
GS WAREHOUSE,80705.0,Rec,Log Lane Village,2016,2018,9,9
GT VENTURES I,80204.0,"Med, Rec",Denver,2018,2018,2,2
Golden Meds,80210.0,Med,Denver,2022,2022,11,12
Golden Meds,80212.0,Rec,Denver,2022,2022,12,12
Golden Meds,80219.0,Med,Denver,2022,2022,11,12
Golden Meds,80239.0,Med,Denver,2022,2022,7,12
Good Chemistry,80013.0,Rec,Aurora,2022,2022,9,12
Good Chemistry,80203.0,Med,Denver,2022,2022,5,12
Good Chemistry,80210.0,Med,Denver,2022,2022,11,12
Good Chemistry,80211.0,Med,Denver,2022,2022,11,12
Good Weed,80903.0,Med,Colorado Springs,2015,2016,12,4
Goodpeople,81621.0,Rec,Basalt,2022,2022,12,12
Green Apex,81076.0,Rec,Sugar City,2022,2022,7,12
Green Cross Rifle,81650.0,Med,Rifle,2014,2014,3,1
Green Cross Silt,81652.0,Rec,Silt,2022,2022,11,12
Green Dragon,80011.0,Rec,Aurora,2022,2022,10,12
Green Dragon,80203.0,Rec,Denver,2022,2022,7,12
Green Dragon,80206.0,Med,Denver,2022,2022,7,12
Green Dragon,80424.0,Rec,Breckenridge,2022,2022,8,12
Green Dragon,80524.0,"Rec, Med",Fort Collins,2022,2022,9,12
Green Fields,80223.0,"Med, Rec",Denver,2022,2022,7,12
Green Man Cannabis,80204.0,Rec,Denver,2022,2022,12,12
Green Man Cannabis,80224.0,Rec,Denver,2022,2022,12,12
Green Meadows Dispensary,81403.0,Med,Montrose,2022,2022,8,12
Green Meadows Dispensary,81416.0,Med,Delta,2022,2022,8,12
Green Medicine Wellness,81601.0,Med,Glenwood Springs,2022,2022,11,12
Green Pharm,80909.0,Med,Colorado Springs,2022,2022,11,12
Green Pharm,80918.0,Med,Colorado Springs,2022,2022,11,12
Green Remedy,80231.0,Rec,Denver,2022,2022,12,12
Green Rino,80216.0,"Med, Rec",Denver,2022,2022,8,12
Green Tree Medicinals,80504.0,Med,Longmont,2022,2022,8,12
Green Tree Medicinals,80513.0,"Rec, Med",Berthoud,2022,2022,9,12
Green Valley Dispensary,80249.0,Rec,Denver,2022,2022,9,12
GreenFields,80223.0,"Rec, Med",Denver,2022,2022,9,12
Grow Life INC,80907.0,Med,Colorado Springs,2022,2022,7,12
Growhouse Ned,80466.0,Rec,Nederland,2015,2016,12,4
HADCAV ENTERPRISES INC,80220.0,Med,Denver,2014,2015,12,4
HAPPY BUDDHA WELLNESS CENTER,80909.0,Med,Colorado Springs,2014,2022,12,8
HARVEST,81008.0,Rec,Pueblo,2019,2020,3,8
HARVEST ,81008.0,Rec,Pueblo,2020,2022,9,12
HARVEST HOUSE,80466.0,Rec,Nederland,2015,2022,12,12
HARVEST HOUSE,81224.0,Rec,Crested Butte,2021,2022,7,8
HARVEST HOUSE CRESTED BUTTE,81224.0,Rec,Crested Butte,2019,2021,8,6
HASH FACTORY,81125.0,Rec,Center,2021,2022,5,7
HASHISH HOUSE,81007.0,"Med, Rec",Pueblo,2014,2016,3,4
HASHISH HUT,81230.0,Rec,Gunnison,2017,2020,9,3
HCH 3,80436.0,Rec,Dumont,2014,2014,8,8
"HCH 3,",80436.0,Rec,Dumont,2014,2014,7,7
HCH2,80420.0,"Med, Rec",Alma,2014,2022,12,11
"HCH2,",80420.0,Rec,Alma,2014,2014,2,1
HCH3,80436.0,Rec,Dumont,2014,2016,12,2
HEADMASTER,80907.0,Med,Colorado Springs,2018,2022,8,12
HEADMASTER,80909.0,Med,Colorado Springs,2017,2022,9,12
HEADQUARTERS,80302.0,"Med, Rec",Boulder,2014,2014,12,6
HEADQUARTERS,80503.0,"Med, Rec",Longmont,2014,2018,12,5
HEADQUARTERS,80525.0,Med,Fort Collins,2014,2019,12,7
HEADQUARTERS CANNABIS CO,80302.0,Rec,Boulder,2014,2017,12,9
HEADQUARTERS CANNABIS CO,80503.0,"Rec, Med",Longmont,2018,2019,4,7
HEADQUARTERS EMPORIUM AND DISPENSARY,80540.0,Rec,Lyons,2015,2016,12,4
HEADQUARTERS EMPORUIM AND DISPENSARY,80540.0,Med,Lyons,2014,2015,12,3
HEALING HOUSE,80210.0,"Med, Rec",Denver,2015,2020,12,8
HEALING HOUSE,80226.0,Med,Lakewood,2015,2016,3,2
HEALING HOUSE ,80210.0,Rec,Denver,2020,2021,9,6
HEALING HOUSE DENVER,80210.0,Rec,Denver,2014,2014,4,1
HEALING HOUSE LAKEWOOD,80210.0,Rec,Denver,2014,2014,12,5
HEALING HOUSE LAKEWOOD,80226.0,Med,Lakewood,2014,2016,12,1
HEALTH DEPOT,80220.0,Med,Denver,2014,2014,1,1
HEALTHY LEAF,80910.0,Med,Colorado Springs,2021,2022,8,8
HEARTLAND PHARMACEUTICALS,80207.0,Med,Denver,2014,2014,3,1
HEAVENLY MEDICAL CAREGIVER,80918.0,Med,Colorado Springs,2014,2016,12,4
HELPING HANDS CANNABIS,80302.0,"Med, Rec",Boulder,2020,2022,1,9
HELPING HANDS HERBALS,80302.0,"Med, Rec",Boulder,2014,2020,12,1
HERB HERB HERB IS THE WORD,80216.0,"Med, Rec",Denver,2014,2015,12,8
"HERB'S NEST,",80216.0,Rec,Denver,2014,2014,2,1
HERB'S PLACE,80909.0,Med,Colorado Springs,2016,2016,9,9
HERBAL BLISS,80443.0,Rec,Frisco,2014,2017,12,3
HERBAL CONNECTIONS,80211.0,Med,Denver,2014,2014,4,6
HERBAL ELEMENTS,81620.0,Med,Avon,2015,2017,12,1
HERBAL ELEMENTS LLP,81620.0,Med,Avon,2014,2015,12,8
HERBAL HEALING,80905.0,Med,Colorado Springs,2016,2019,9,4
HERBAL HEALING,80907.0,Med,Colorado Springs,2016,2022,9,12
HERBAL HEALING,80909.0,Med,Colorado Springs,2016,2022,9,6
HERBAL HEALING,81006.0,Rec,Pueblo,2019,2020,11,8
HERBAL HEALTH,80204.0,Rec,Denver,2016,2016,9,4
HERBAL REMEDIES,80219.0,Med,Denver,2014,2019,12,6
HERBAL REMEDIES,80223.0,Med,Denver,2019,2020,7,5
HERBAL REMEDIES INC,80219.0,Med,Denver,2014,2014,8,6
HERBAL WELLNESS,80026.0,"Med, Rec",Lafayette,2014,2022,12,12
HERBAL WELLNESS,80211.0,Med,Denver,2014,2015,12,4
HERBAL WELLNESS,80222.0,Med,Denver,2015,2015,12,12
HERBAL WELLNESS,80223.0,Med,Denver,2014,2014,1,1
HERBAL WELLNESS,80501.0,Rec,Longmont,2018,2019,4,2
HERBAN FARMER,80904.0,Med,Colorado Springs,2014,2022,11,10
"HERBAN FARMER,",80904.0,Med,Colorado Springs,2015,2016,12,4
HERBAN MEDICINALS,80203.0,"Med, Rec",Denver,2014,2015,12,8
HERBAN UNDERGROUND,80203.0,"Med, Rec",Denver,2015,2022,12,12
HERBS 4 YOU,80203.0,"Med, Rec",Denver,2014,2022,12,12
HERBS MEDICINALS INC (DENVER CANNA CLUB #3),80513.0,Med,Berthoud,2014,2014,8,6
HERBS NEST,80216.0,Rec,Denver,2014,2014,8,5
HERBS PLACE,80909.0,Med,Colorado Springs,2015,2022,12,10
HERBZ,81301.0,Rec,Durango,2017,2018,9,3
HERITAGE ORGANICS,81007.0,"Med, Rec",Pueblo West,2015,2017,12,5
HERITAGE ORGANICS,81240.0,Med,Penrose,2014,2017,12,3
HGCO,80239.0,Med,Denver,2016,2017,9,3
HGCO,80916.0,Med,Colorado Springs,2016,2020,9,8
HIGH COUNTRY,80498.0,Rec,Silverthorne,2014,2015,12,3
HIGH COUNTRY HEALING,80498.0,"Med, Rec",Silverthorne,2014,2022,12,12
HIGH COUNTRY HEALING,80907.0,Med,Colorado Springs,2014,2014,8,6
HIGH COUNTRY HEALING,80918.0,Med,Colorado Springs,2014,2014,8,6
HIGH COUNTRY HEALING 4,80907.0,Med,Colorado Springs,2016,2022,9,12
HIGH COUNTRY HEALING 5,80918.0,Med,Colorado Springs,2014,2015,12,11
"HIGH COUNTRY HEALING 5, 6",80918.0,Med,Colorado Springs,2014,2014,9,9
HIGH COUNTRY HEALING 6,80907.0,Med,Colorado Springs,2014,2015,12,11
HIGH COUNTRY HEALING 8,81620.0,Rec,Avon,2016,2022,9,12
HIGH COUNTRY RELEAF,81323.0,Rec,Dolores,2022,2022,1,12
HIGH COUNTRY SUPPLY,80210.0,"Med, Rec",Denver,2015,2016,12,1
HIGH CULTURE CANNABIS,80540.0,Rec,Lyons,2018,2020,12,11
HIGH DEMAND,81007.0,"Med, Rec",Pueblo West,2018,2019,12,2
HIGH GRADE,80022.0,Med,Commerce City,2017,2018,9,3
HIGH GRADE SPECIALISTS,81147.0,Rec,Pagosa Springs,2021,2022,2,8
HIGH HOPES,80910.0,Med,Colorado Springs,2017,2022,9,12
HIGH HOPES,80915.0,Med,Colorado Springs,2017,2018,9,3
HIGH HOPES,80918.0,Med,Colorado Springs,2020,2022,7,12
HIGH HOPES,80919.0,Med,Colorado Springs,2018,2019,8,4
HIGH LEVEL HEALTH,80202.0,"Med, Rec",Denver,2019,2022,2,12
HIGH LEVEL HEALTH,80203.0,"Rec, Med",Denver,2014,2022,12,12
HIGH LEVEL HEALTH,80206.0,"Rec, Med",Denver,2014,2022,12,12
HIGH LEVEL HEALTH,80436.0,"Med, Rec",Dumont,2018,2022,8,12
HIGH OCTANE,81004.0,Rec,Pueblo,2019,2022,10,11
HIGH OCTANE,81019.0,Rec,Colorado City,2021,2021,5,5
HIGH PLAINS STRAINS,80705.0,Rec,Log Lane Village,2018,2019,12,1
HIGH PLAINZ STRAINS & DISPENSARY,80705.0,Rec,Log Lane Village,2019,2022,2,7
HIGH PLAINZ STRAINS II,80631.0,Rec,Garden City,2019,2022,9,11
HIGH PLAINZ STRAINS III,80749.0,Rec,Sedgwick,2020,2022,4,11
HIGH PLAINZ STRAINS OF FORT LUPTON INC,80621.0,Rec,Fort Lupton,2022,2022,5,11
HIGH Q,81623.0,Rec,Carbondale,2017,2019,11,10
HIGH Q,81652.0,Rec,Silt,2014,2020,12,8
HIGH Q CARBONDALE,81623.0,Rec,Carbondale,2019,2022,11,12
HIGH Q CEDAREDGE,81413.0,Rec,Cedaredge,2021,2022,11,12
HIGH Q PALISADE,81526.0,Rec,Palisade,2018,2019,4,1
HIGH Q PARACHUTE,81635.0,Rec,Parachute,2020,2022,6,9
HIGH Q SILT,81652.0,Rec,Silt,2020,2022,9,9
HIGH ROLLERS,80210.0,"Med, Rec",Denver,2017,2019,9,7
HIGH SOCIETY MEDICAL CANNABIS,80234.0,Med,Northglenn,2014,2016,12,4
HIGH ST CANNABIS STATION,80205.0,"Med, Rec",Denver,2015,2017,12,9
HIGH STREET GROWERS,80219.0,"Med, Rec",Denver,2014,2020,12,4
"HIGH STREET GROWERS,",80219.0,Rec,Denver,2014,2014,4,5
HIGH TOPS,80903.0,Med,Colorado Springs,2018,2020,8,12
HIGH TOPS,80915.0,Med,Colorado Springs,2018,2020,12,12
HIGH VALLEY ANTONITO RETAIL CANNABIS,81120.0,Rec,Antonito,2015,2022,12,7
HIGH VALLEY HEALING ALAMOSA,81101.0,Med,Alamosa,2014,2022,12,9
HIGH VALLEY HEALING CENTER,81131.0,Med,Crestone,2014,2015,12,4
HIGH VALLEY RETAIL CANNABIS,81143.0,Rec,Moffat,2014,2022,12,7
HIGH WAYS CO,81625.0,Rec,Craig,2020,2022,11,11
HIGH WEST CANNABIS,80239.0,Rec,Denver,2016,2022,10,12
HIGHER ELEVATION,81131.0,Rec,Crestone,2017,2022,9,9
HIGHER EXPECTATIONS,80223.0,"Med, Rec",Denver,2014,2016,12,4
HIGHER FUNCTION,80435.0,Rec,Keystone,2016,2017,9,1
HIGHER GRADE,80204.0,"Med, Rec",Denver,2018,2022,12,12
HIGHER GRADE,80211.0,Med,Denver,2017,2022,9,12
HIGHER GRADE,80231.0,Med,Denver,2019,2022,11,6
HIGHER GROUND MMC,80210.0,"Med, Rec",Denver,2014,2014,4,6
HIGHGRADE,80022.0,Rec,Commerce City,2017,2018,9,3
HIGHLAND HEALTH,81082.0,Rec,Trinidad,2015,2022,12,12
HIGHLANDS BEST,80223.0,Med,Denver,2020,2022,8,6
HIGHLINE,80022.0,Rec,Commerce City,2017,2021,9,1
HIGHTOPS,80903.0,Med,Colorado Springs,2021,2022,8,10
HIGHTOPS,80915.0,Med,Colorado Springs,2021,2022,6,7
HIGHTOPS INC,80903.0,Med,Colorado Springs,2021,2021,1,7
HIGHTOPS INC,80915.0,Med,Colorado Springs,2021,2021,1,5
HIGHWAY 85 CANNABIS,80621.0,Rec,Fort Lupton,2022,2022,8,12
"HKS,",80203.0,Rec,Denver,2014,2016,12,4
HOLISTIC HEALTHCARE,81620.0,Med,Avon,2017,2019,9,7
HOLISTIC HEALTHCARE,81632.0,Med,Edwards,2014,2017,8,5
HOLISTIC LIFE,80232.0,Med,Lakewood,2014,2017,12,9
HONEY BEAR APOTHECARY,81625.0,Rec,Craig,2020,2022,7,7
HORIZON CANNABIS,80226.0,"Med, Rec",Lakewood,2022,2022,4,10
HOUSE OF BUDS,80260.0,Rec,Westminster,2017,2017,9,9
HOUSE OF DANKNESS,80239.0,"Med, Rec",Denver,2016,2022,9,12
HOUSE OF GREENS,80223.0,Med,Denver,2014,2014,8,6
HOUSE OF HERB,80219.0,Med,Denver,2014,2014,3,1
HUSH CANNABIS & CONFECTIONS,81620.0,Med,Avon,2016,2022,9,5
Harvest House,81224.0,Rec,Crested Butte,2022,2022,9,12
Healthy Leaf,80910.0,Med,Colorado Springs,2022,2022,11,12
Helping Hands Cannabis,80302.0,"Rec, Med",Boulder,2022,2022,9,12
Herb's Place,80909.0,Med,Colorado Springs,2022,2022,11,12
Herbal Elements,81620.0,Med,Avon,2016,2016,9,8
Herbal Healing,80909.0,Med,Colorado Springs,2015,2016,12,4
Herban Farmer,80904.0,Med,Colorado Springs,2022,2022,11,12
Herban Underground,80203.0,Rec,Denver,2022,2022,9,12
High Country Healing 4,80907.0,Med,Colorado Springs,2014,2016,12,4
High Grade Specialists,81147.0,Rec,Pagosa Springs,2022,2022,9,12
High Level Health,80203.0,Med,Denver,2022,2022,7,12
High Level Health,80206.0,Med,Denver,2016,2022,9,12
High Plainz Strains & Dispensary,80705.0,Rec,Log Lane Village,2022,2022,8,12
High Q Parachute,81635.0,Rec,Parachute,2022,2022,10,12
High Q Silt,81652.0,Rec,Silt,2022,2022,10,12
High Q Snowmass Village,81615.0,Rec,Snowmass Village,2019,2022,9,12
High Valley Antonito Retail Cannabis,81120.0,Rec,Antonito,2022,2022,8,12
High Valley Healing Alamosa,81101.0,Med,Alamosa,2022,2022,11,12
High Valley Retail Cannabis,81143.0,Rec,Moffat,2022,2022,8,12
High Ways Dispensary,81625.0,Rec,Craig,2022,2022,12,12
Higher Elevation,81131.0,Rec,Crestone,2022,2022,10,12
Higher Grade,80231.0,Med,Denver,2022,2022,7,12
Hightops,80903.0,Med,Colorado Springs,2022,2022,11,12
Hightops,80915.0,Med,Colorado Springs,2022,2022,11,12
Honeybear Apothecary,81625.0,Rec,Craig,2022,2022,8,12
Horizon Cannabis,80226.0,"Rec, Med",Lakewood,2022,2022,10,12
House of Dankness,80239.0,Med,Denver,2022,2022,11,12
I & S,80120.0,Med,Littleton,2019,2019,6,7
ICEBOX FLOWER,80482.0,Rec,Fraser,2015,2015,7,8
ICEBOX FLOWER NEDERLAND,80466.0,Rec,Nederland,2015,2015,7,8
IGADI,80026.0,"Med, Rec",Lafayette,2017,2022,9,7
IGADI,80027.0,Rec,Louisville,2020,2022,2,7
IGADI,80233.0,Rec,Northglenn,2018,2022,12,12
IGADI,80427.0,Rec,Central City,2016,2022,10,9
IGADI,80446.0,Rec,Granby,2019,2022,10,9
IGADI,80452.0,Rec,Idaho Springs,2017,2022,9,12
IGADI,80466.0,Rec,Nederland,2018,2022,4,8
IGADI,80478.0,"Med, Rec",Tabernash,2014,2022,12,12
IGADI,80540.0,Rec,Lyons,2020,2022,12,9
"IHC, SANTE'",80223.0,Med,Denver,2014,2015,12,8
IHC/SANTE,80223.0,Med,Denver,2015,2017,12,5
INDISPENSARY,80904.0,Med,Colorado Springs,2014,2022,7,8
INDISPENSARY,80907.0,Med,Colorado Springs,2019,2022,8,12
INDISPENSARY,80909.0,Med,Colorado Springs,2014,2019,12,7
INDOOR HORTICULTURE CENTERS,80223.0,Med,Denver,2014,2014,8,9
INFINITE WELLNESS CENTER,80215.0,Med,Lakewood,2014,2018,12,3
INFINITE WELLNESS CENTER,80521.0,Rec,Fort Collins,2014,2016,12,4
INFINITE WELLNESS CENTER,80524.0,"Med, Rec",Fort Collins,2014,2019,12,2
IVITA,80203.0,"Med, Rec",Denver,2014,2016,11,1
IVITA,80205.0,"Med, Rec",Denver,2014,2016,11,1
IVITA,80211.0,"Rec, Med",Denver,2014,2016,12,4
IVITA WELLNESS,80203.0,Med,Denver,2014,2015,8,10
IVITA WELLNESS,80205.0,Med,Denver,2014,2016,8,1
IVITA WELLNESS II,80211.0,Med,Denver,2014,2016,12,4
IgadI,80026.0,"Rec, Med",Lafayette,2022,2022,8,12
IgadI,80027.0,Rec,Louisville,2022,2022,8,12
IgadI,80427.0,Rec,Central City,2022,2022,10,12
IgadI,80446.0,Rec,Granby,2022,2022,10,12
IgadI,80540.0,Rec,Lyons,2022,2022,10,12
Igadi,80466.0,Rec,Nederland,2022,2022,9,12
J & J MOUNTAIN MEDICALS,80814.0,Med,Divide,2014,2018,12,5
JADE KOLA,80910.0,Med,Colorado Springs,2019,2022,7,10
JARS Cannabis,80015.0,Rec,Aurora,2022,2022,12,12
JARS Cannabis,80016.0,Rec,Aurora,2022,2022,12,12
JARS Cannabis,80202.0,Rec,Denver,2022,2022,12,12
JARS Cannabis,80216.0,Rec,Denver,2022,2022,12,12
JARS Cannabis,80501.0,Rec,Longmont,2022,2022,12,12
JARS Cannabis,81611.0,Rec,Aspen,2022,2022,12,12
JP LABS,80904.0,Med,Colorado Springs,2015,2016,12,4
JP LABS,80918.0,Med,Colorado Springs,2014,2016,12,4
JP WELLNESS,80904.0,Med,Colorado Springs,2016,2020,10,12
JP WELLNESS,80916.0,Med,Colorado Springs,2014,2019,12,12
JP WELLNESS,80918.0,Med,Colorado Springs,2016,2020,12,6
"JP WELLNESS,",80916.0,Med,Colorado Springs,2014,2014,8,6
JP Wellness,80918.0,Med,Colorado Springs,2016,2016,11,11
JS INVESTMENTS,80202.0,Med,Denver,2014,2015,12,3
JVJC HOLDINGS II,80203.0,"Med, Rec",Denver,2017,2020,9,6
JVJC HOLDINGS III,80216.0,"Med, Rec",Denver,2017,2020,9,6
Jade Kola,80910.0,Med,Colorado Springs,2022,2022,11,12
KANOPYA SPRINGS,80909.0,Med,Colorado Springs,2020,2022,3,12
KARING KIND,80302.0,"Med, Rec",Boulder,2014,2022,3,12
KARMACEUTICALS,80223.0,"Med, Rec",Denver,2014,2022,12,10
KARMACEUTICALS ,80223.0,Rec,Denver,2020,2022,9,12
KAYA,80204.0,"Rec, Med",Denver,2018,2022,4,12
KAYA,81621.0,Med,Basalt,2021,2021,5,12
KAYA CANNABIS,80223.0,"Med, Rec",Denver,2021,2022,6,12
KAYA CANNABIS,80228.0,Med,Lakewood,2018,2022,4,7
KAYA CANNABIS ,80228.0,Rec,Lakewood,2021,2022,4,12
KAZIMER,80216.0,Med,Denver,2015,2019,12,8
KAZIMER,80223.0,Med,Denver,2014,2015,12,4
KIKA KUSH,80909.0,Med,Colorado Springs,2022,2022,9,12
KIND CARE OF COLORADO,80525.0,"Med, Rec",Fort Collins,2014,2022,12,11
KIND HENDERSON,80640.0,Rec,Henderson,2022,2022,5,11
KIND LOVE,80246.0,"Med, Rec",Glendale,2014,2022,2,12
KIND LOVE ,80246.0,Med,Glendale,2020,2022,9,12
KIND LOVE / KL,80246.0,Rec,Glendale,2015,2015,3,4
KIND LOVE EXPRESS,80239.0,"Med, Rec",Denver,2022,2022,5,12
KIND MEDS,80223.0,Med,Denver,2018,2019,8,8
KIND PAIN MANAGEMENT,80215.0,Med,Lakewood,2014,2020,12,11
KIND THERAPEUTICS INC,80909.0,Med,Colorado Springs,2014,2019,12,5
KIND THERAPEUTICS INC,80919.0,Med,Colorado Springs,2019,2019,6,9
KIND-MEDS,80223.0,Med,Denver,2014,2022,12,12
KINDMAN,80216.0,"Med, Rec",Denver,2014,2014,2,1
KINFOLK FARMS,81301.0,Rec,Durango,2019,2022,2,12
KING'S CANNABIZ,80909.0,Med,Colorado Springs,2021,2022,12,9
KINGS CANNABIZ,80909.0,Med,Colorado Springs,2016,2021,12,11
KL,80224.0,Med,Denver,2014,2014,8,6
KP,81611.0,Rec,Aspen,2016,2017,12,3
KRYSTALEAVES,80022.0,"Med, Rec",Commerce City,2018,2022,4,7
KTA,80219.0,Rec,Denver,2017,2017,9,9
